fiscal_yr;service_id;volume_meeting_target;total_volume;volume_not_meeting_target
2018-2019;351;12128.0;12128.0;0.0
2018-2019;352;15107.0;15107.0;0.0
2018-2019;353;0.0;0.0;0.0
2018-2019;354;0.0;0.0;0.0
2018-2019;355;0.0;0.0;0.0
2018-2019;356;282828.0;282828.0;0.0
2018-2019;357;784668.0;790743.0;6075.0
2018-2019;36;0.0;49249.0;49249.0
2018-2019;37;0.0;7336727.0;7336727.0
2018-2019;4;125.0;129.0;4.0
2018-2019;425;169359828.0;216380970.0;47021142.0
2018-2019;429;3549.0;3866.0;317.0
2018-2019;46;0.0;218.0;218.0
2018-2019;47;0.0;1.0;1.0
2018-2019;48;0.0;12593.0;12593.0
2018-2019;49;0.0;2772.0;2772.0
2018-2019;5;19.0;19.0;0.0
2018-2019;50;0.0;6558.0;6558.0
2018-2019;51;0.0;16.0;16.0
2018-2019;52;0.0;651.0;651.0
2018-2019;53;1468.0;1974.0;506.0
2018-2019;57;10.0;22.0;12.0
2018-2019;6;5.0;5.0;0.0
2018-2019;655;0.0;0.0;0.0
2018-2019;656;0.0;0.0;0.0
2018-2019;657;1489082.0;1669484.0;180402.0
2018-2019;658;877.0;1045.0;168.0
2018-2019;659;414216.0;424216.0;10000.0
2018-2019;660;114308310.0;127316316.0;13008006.0
2018-2019;661;546018.0;606020.0;60002.0
2018-2019;662;120120131.0;126126144.0;6006013.0
2018-2019;663;201220.0;201220.0;0.0
2018-2019;664;486798.0;546473.0;59675.0
2018-2019;665;2222.0;2222.0;0.0
2018-2019;667;11239.0;11239.0;0.0
2018-2019;668;554.0;554.0;0.0
2018-2019;669;55453509.0;57685955.0;2232446.0
2018-2019;679;237297.0;312233.0;74936.0
2018-2019;680;12951245.0;12951295.0;50.0
2018-2019;687;0.0;0.0;0.0
2018-2019;688;7519.0;7628.0;109.0
2018-2019;689;66856.0;68220.0;1364.0
2018-2019;690;0.0;0.0;0.0
2018-2019;691;0.0;0.0;0.0
2018-2019;694;101738121252.0;130141411594.0;28403290342.0
2018-2019;7;298297.0;310726.0;12429.0
2018-2019;707;659113147.0;707150158.0;48037011.0
2018-2019;712;0.0;0.0;0.0
2018-2019;716;4691.0;4739.0;48.0
2018-2019;719;622.0;3154.0;2532.0
2018-2019;723;69151.0;71171.0;2020.0
2018-2019;726;55459.0;77026.0;21567.0
2018-2019;728;556539.0;916453.0;359914.0
2018-2019;730;1.078710787107871e+19;1.2388123881238813e+19;1.6010160101601034e+18
2018-2019;731;12.0;12.0;0.0
2018-2019;732;56677677.0;56733733.0;56056.0
2018-2019;733;28.0;28.0;0.0
2018-2019;734;13013.0;13014.0;1.0
2018-2019;735;150150.0;158158.0;8008.0
2018-2019;736;0.0;0.0;0.0
2018-2019;737;1758.0;1766.0;8.0
2018-2019;739;234234234.0;255255255.0;21021021.0
2018-2019;740;97.0;97.0;0.0
2018-2019;741;1.0;1.0;0.0
2018-2019;742;88.0;88.0;0.0
2018-2019;743;125940.0;125940.0;0.0
2018-2019;744;130435.0;185838.0;55403.0
2018-2019;745;1059.0;1197.0;138.0
2018-2019;746;2555.0;3102.0;547.0
2018-2019;747;0.0;0.0;0.0
2018-2019;748;27253133.0;34313430.0;7060297.0
2018-2019;749;29692488.0;33003312.0;3310824.0
2018-2019;750;71043421145479.0;91163865184591.0;20120444039112.0
2018-2019;751;76930.0;77976.0;1046.0
2018-2019;752;757713577.0;803713873.0;46000296.0
2018-2019;753;0.0;0.0;0.0
2018-2019;754;221.0;243.0;22.0
2018-2019;755;356843255132.0;375343255238.0;18500000106.0
2018-2019;756;3314.0;3382.0;68.0
2018-2019;757;0.0;0.0;0.0
2018-2019;758;0.0;0.0;0.0
2018-2019;759;0.0;0.0;0.0
2018-2019;761;396.0;400.0;4.0
2018-2019;762;350025.0;350025.0;0.0
2018-2019;763;600000.0;600000.0;0.0
2018-2019;764;19.0;19.0;0.0
2018-2019;765;1120.0;1120.0;0.0
2018-2019;766;0.0;0.0;0.0
2018-2019;767;2364.0;25614.0;23250.0
2018-2019;768;37890.0;49208.0;11318.0
2018-2019;770;0.0;0.0;0.0
2018-2019;771;13958.0;15509.0;1551.0
2018-2019;772;341.0;359.0;18.0
2018-2019;775;1381615.0;13916181.0;12534566.0
2018-2019;795;565.0;667.0;102.0
2018-2019;8;0.0;10117.0;10117.0
2018-2019;800;42.0;42.0;0.0
2018-2019;808;63566.0;63566.0;0.0
2018-2019;810;0.0;0.0;0.0
2018-2019;811;0.0;0.0;0.0
2018-2019;813;0.0;0.0;0.0
2018-2019;814;0.0;0.0;0.0
2018-2019;815;0.0;0.0;0.0
2018-2019;816;0.0;0.0;0.0
2018-2019;817;0.0;0.0;0.0
2018-2019;818;86302.0;86302.0;0.0
2018-2019;838;0.0;0.0;0.0
2018-2019;843;80000.0;1000010000.0;999930000.0
2018-2019;845;0.0;0.0;0.0
