fiscal_yr;org_id;service_id;channel;volume_meeting_target;total_volume;volume_not_meeting_target
2018-2019;125;1021;OTH;2.0;3.0;1.0
2018-2019;125;1022;OTH;2.0;4.0;2.0
2018-2019;125;1024;OTH;5.0;6.0;1.0
2018-2019;125;1025;OTH;8.0;8.0;0.0
2018-2019;125;1027;ONL;327000.0;327000.0;0.0
2018-2019;125;1028;TEL;324.0;334.0;10.0
2018-2019;125;1029;OTH;204.0;212.0;8.0
2018-2019;125;1031;OTH;0.0;2196.0;2196.0
2018-2019;125;1032;ONL;240000.0;240000.0;0.0
2018-2019;125;1033;ONL;19.0;23.0;4.0
2018-2019;125;1034;ONL;4.0;6.0;2.0
2018-2019;125;1035;OTH;147.0;150.0;3.0
2018-2019;125;1037;OTH;557.0;606.0;49.0
2018-2019;125;1041;OTH;3043.0;3100.0;57.0
2018-2019;125;1043;OTH;3043.0;3100.0;57.0
2018-2019;125;1045;ONL;52.0;52.0;0.0
2018-2019;125;1515;OTH;745.0;745.0;0.0
2018-2019;125;1737;OTH;104.0;111.0;7.0
2018-2019;125;1738;OTH;368.0;423.0;55.0
2018-2019;125;1739;OTH;140.0;144.0;4.0
2018-2019;125;1740;OTH;274.0;285.0;11.0
2018-2019;125;1742;OTH;156.0;156.0;0.0
2018-2019;125;1744;OTH;303.0;303.0;0.0
2018-2019;125;1745;OTH;4024.0;4597.0;573.0
2018-2019;125;1746;OTH;2400.0;3000.0;600.0
2018-2019;125;1748;OTH;41.0;45.0;4.0
2018-2019;125;1749;OTH;164.0;219.0;55.0
2018-2019;125;846;PERSON;9.0;9.0;0.0
2018-2019;125;956;OTH;350.0;520.0;170.0
2018-2019;125;956;TEL;0.0;150.0;150.0
2018-2019;125;997;OTH;50.0;50.0;0.0
2018-2019;125;998;OTH;8.0;10.0;2.0
2018-2019;125;999;OTH;35.0;35.0;0.0
2018-2019;126;1688;ONL;0.0;0.0;0.0
2018-2019;126;1691;ONL;0.0;0.0;0.0
2018-2019;126;1886;OTH;0.0;0.0;0.0
2018-2019;127;1055;OTH;3154.0;3479.0;325.0
2018-2019;127;1059;OTH;10378.0;11656.0;1278.0
2018-2019;127;1060;OTH;1030.0;1165.0;135.0
2018-2019;127;1062;OTH;32943.0;33022.0;79.0
2018-2019;127;1088;ONL;0.0;3151.0;3151.0
2018-2019;127;1089;OTH;76.0;82.0;6.0
2018-2019;127;1958;TEL;0.0;0.0;0.0
2018-2019;127;1959;ONL;0.0;0.0;0.0
2018-2019;127;1960;ONL;0.0;0.0;0.0
2018-2019;127;1960;TEL;0.0;0.0;0.0
2018-2019;127;726;TEL;55459.0;77026.0;21567.0
2018-2019;127;730;ONL;10787.0;12388.0;1601.0
2018-2019;127;730;OTH;10787.0;12388.0;1601.0
2018-2019;127;730;PERSON;10787.0;12388.0;1601.0
2018-2019;127;730;TEL;10787.0;12388.0;1601.0
2018-2019;127;732;ONL;56.0;56.0;0.0
2018-2019;127;732;OTH;677.0;733.0;56.0
2018-2019;127;732;PERSON;677.0;733.0;56.0
2018-2019;127;735;ONL;150.0;158.0;8.0
2018-2019;127;735;TEL;150.0;158.0;8.0
2018-2019;127;736;ONL;0.0;0.0;0.0
2018-2019;127;736;OTH;0.0;0.0;0.0
2018-2019;127;736;PERSON;0.0;0.0;0.0
2018-2019;127;739;ONL;234.0;255.0;21.0
2018-2019;127;739;PERSON;234.0;255.0;21.0
2018-2019;127;739;TEL;234.0;255.0;21.0
2018-2019;127;747;OTH;0.0;0.0;0.0
2018-2019;127;751;TEL;1006.0;1053.0;47.0
2018-2019;127;753;PERSON;0.0;0.0;0.0
2018-2019;127;754;TEL;221.0;243.0;22.0
2018-2019;127;756;TEL;3314.0;3382.0;68.0
2018-2019;127;761;ONL;396.0;400.0;4.0
2018-2019;127;762;OTH;3525.0;3525.0;0.0
2018-2019;127;763;OTH;600000.0;600000.0;0.0
2018-2019;127;764;ONL;19.0;19.0;0.0
2018-2019;127;765;ONL;112.0;112.0;0.0
2018-2019;127;766;ONL;0.0;0.0;0.0
2018-2019;127;768;TEL;37890.0;49208.0;11318.0
2018-2019;127;770;ONL;0.0;0.0;0.0
2018-2019;127;771;ONL;13958.0;15509.0;1551.0
2018-2019;127;772;TEL;341.0;359.0;18.0
2018-2019;127;850;ONL;80.0;83.0;3.0
2018-2019;127;859;ONL;276.0;338.0;62.0
2018-2019;127;860;ONL;703.0;750.0;47.0
2018-2019;127;861;ONL;1307.0;1318.0;11.0
2018-2019;127;862;ONL;36.0;125.0;89.0
2018-2019;127;863;ONL;822.0;842.0;20.0
2018-2019;127;864;ONL;145.0;160.0;15.0
2018-2019;127;868;ONL;117.0;190.0;73.0
2018-2019;127;874;OTH;3028.0;3028.0;0.0
2018-2019;127;875;OTH;3448.0;3448.0;0.0
2018-2019;127;876;OTH;1200.0;1200.0;0.0
2018-2019;127;877;OTH;2909.0;2909.0;0.0
2018-2019;127;878;OTH;112.0;116.0;4.0
2018-2019;127;879;OTH;118604.0;122519.0;3915.0
2018-2019;127;880;OTH;20.0;20.0;0.0
2018-2019;128;1001;OTH;355989.0;387297.0;31308.0
2018-2019;128;1003;OTH;2277975.0;2853271.0;575296.0
2018-2019;128;1005;OTH;0.0;0.0;0.0
2018-2019;128;1007;OTH;93412.0;93478.0;66.0
2018-2019;128;1090;OTH;13973.0;19037.0;5064.0
2018-2019;128;1093;TEL;1254506.0;1576594.0;322088.0
2018-2019;128;1096;OTH;21.0;21.0;0.0
2018-2019;128;1242;OTH;352391.0;354183.0;1792.0
2018-2019;128;1242;PERSON;2031550.0;2038832.0;7282.0
2018-2019;128;1252;PERSON;7200000.0;8400000.0;1200000.0
2018-2019;128;1254;OTH;5107.0;5107.0;0.0
2018-2019;128;1256;OTH;3574.0;4896.0;1322.0
2018-2019;128;1266;OTH;39142.0;41417.0;2275.0
2018-2019;128;1290;OTH;0.0;0.0;0.0
2018-2019;128;1292;OTH;341000.0;341000.0;0.0
2018-2019;128;1292;PERSON;1270000.0;1300000.0;30000.0
