fiscal_yr;org_id;service_id;channel;volume
2021-2022;130;1235;online;121525.0
2022-2023;130;1237;online;273070.0
2018-2019;130;1237;online;3340000.0
2019-2020;130;1237;online;5900000.0
2020-2021;130;1237;online;268357.0
2021-2022;130;1237;online;68490.0
2022-2023;124;1238;online;657.0
2018-2019;124;1238;online;1331.0
2019-2020;124;1238;online;681.0
2022-2023;130;1243;online;627.0
2020-2021;130;1243;online;967.0
2021-2022;130;1243;online;894.0
2022-2023;130;1248;online;643.0
2018-2019;130;1248;online;954.0
2019-2020;130;1248;online;839.0
2020-2021;130;1248;online;1457.0
2021-2022;130;1248;online;936.0
2020-2021;130;1250;online;9.0
2020-2021;128;1252;online;2993482.0
2022-2023;130;1253;online;18874.0
2018-2019;130;1253;online;1599.0
2020-2021;130;1253;online;9931.0
2021-2022;130;1253;online;18197.0
2018-2019;128;1254;online;1901.0
2019-2020;128;1254;online;2506.0
2020-2021;128;1254;online;5077.0
2022-2023;130;1255;online;11375.0
2018-2019;130;1255;online;9052.0
2019-2020;130;1255;online;8510.0
2020-2021;130;1255;online;12705.0
2021-2022;130;1255;online;11375.0
2022-2023;128;1256;online;36091.0
2019-2020;128;1256;online;901.0
2020-2021;128;1256;online;9632.0
2021-2022;128;1256;online;12036.0
2022-2023;139;1257;online;40254.0
2019-2020;139;1257;online;53073.0
2020-2021;139;1257;online;34203.0
2021-2022;139;1257;online;33520.0
2022-2023;130;1258;online;301744.0
2018-2019;130;1258;online;63127.0
2019-2020;130;1258;online;200230.0
2020-2021;130;1258;online;193651.0
2021-2022;130;1258;online;245038.0
2019-2020;1;125;online;66268.0
2022-2023;134;1260;online;688.0
2020-2021;134;1260;online;2000.0
2018-2019;139;1261;online;5720.0
2022-2023;139;1262;online;331.0
2019-2020;139;1262;online;82.0
2020-2021;139;1262;online;105.0
2021-2022;139;1262;online;170.0
2022-2023;139;1264;online;14.0
2019-2020;139;1264;online;43.0
2020-2021;139;1264;online;44.0
2021-2022;139;1264;online;39.0
2022-2023;128;1266;online;49417.0
2018-2019;128;1266;online;38504.0
2019-2020;128;1266;online;36448.0
2020-2021;128;1266;online;51019.0
2021-2022;128;1266;online;50996.0
2022-2023;130;1267;online;445958.0
2018-2019;130;1267;online;10543.0
2019-2020;130;1267;online;291206.0
2020-2021;130;1267;online;437677.0
2021-2022;130;1267;online;442219.0
2018-2019;130;1268;online;21.0
2019-2020;130;1268;online;72.0
2020-2021;130;1268;online;49.0
2022-2023;139;1269;online;91.0
2019-2020;139;1269;online;36.0
2020-2021;139;1269;online;34.0
2021-2022;139;1269;online;72.0
2022-2023;139;1271;online;5661.0
2018-2019;139;1271;online;3077.0
2019-2020;139;1271;online;4050.0
2020-2021;139;1271;online;2398.0
2021-2022;139;1271;online;5425.0
2022-2023;139;1272;online;59.0
2019-2020;139;1272;online;25.0
2020-2021;139;1272;online;39.0
2021-2022;139;1272;online;46.0
2022-2023;130;1274;online;5.0
2018-2019;130;1274;online;19.0
2019-2020;130;1274;online;28.0
2020-2021;130;1274;online;18.0
2021-2022;228;1275;online;2930.0
2022-2023;130;1276;online;2677.0
2018-2019;130;1276;online;602.0
2019-2020;130;1276;online;2086.0
2020-2021;130;1276;online;2431.0
2018-2019;139;1278;online;438.0
2018-2019;139;1279;online;14842.0
2019-2020;139;1279;online;15601.0
2022-2023;130;1282;online;89.0
2018-2019;130;1282;online;10.0
2019-2020;130;1282;online;111.0
2020-2021;130;1282;online;358.0
2022-2023;139;1283;online;1403.0
2018-2019;139;1283;online;1827.0
2019-2020;139;1283;online;1458.0
2022-2023;139;1284;online;1631.0
2018-2019;139;1284;online;1076.0
2019-2020;139;1284;online;1305.0
2020-2021;139;1284;online;828.0
2022-2023;139;1286;online;118.0
2018-2019;139;1286;online;168.0
2019-2020;139;1286;online;114.0
2021-2022;139;1286;online;98.0
2022-2023;130;1287;online;5.0
2018-2019;130;1287;online;34.0
2019-2020;130;1287;online;15.0
2020-2021;130;1287;online;13.0
2018-2019;139;1288;online;67.0
2022-2023;130;1289;online;55.0
2018-2019;130;1289;online;17.0
2019-2020;130;1289;online;73.0
2020-2021;130;1289;online;111.0
2022-2023;130;1291;online;42.0
2018-2019;130;1291;online;30.0
2019-2020;130;1291;online;30.0
2020-2021;130;1291;online;37.0
2021-2022;130;1291;online;40.0
2022-2023;128;1292;online;819683.0
2018-2019;128;1292;online;341000.0
2019-2020;128;1292;online;358124.0
2020-2021;128;1292;online;457094.0
2021-2022;128;1292;online;1224607.0
2022-2023;128;1293;online;1711674.0
2018-2019;128;1293;online;1430000.0
2019-2020;128;1293;online;1389013.0
2020-2021;128;1293;online;1844488.0
2021-2022;128;1293;online;1576331.0
2022-2023;128;1294;online;36622.0
2018-2019;128;1294;online;85000.0
2019-2020;128;1294;online;24066.0
2020-2021;128;1294;online;21331.0
2021-2022;128;1294;online;31793.0
2021-2022;128;1295;online;37073.0
2022-2023;128;1296;online;797111.0
2018-2019;128;1296;online;527990.0
2019-2020;128;1296;online;504632.0
2020-2021;128;1296;online;614194.0
2021-2022;128;1296;online;752804.0
2022-2023;326;1297;online;16795.0
2018-2019;326;1297;online;3289.0
2019-2020;326;1297;online;9072.0
2020-2021;326;1297;online;13956.0
2021-2022;326;1297;online;19576.0
2022-2023;128;1298;online;11315.0
2018-2019;128;1298;online;15444.0
2019-2020;128;1298;online;15435.0
2020-2021;128;1298;online;8988.0
2021-2022;128;1298;online;9837.0
2018-2019;136;12;online;15.0
2022-2023;130;1301;online;303.0
2021-2022;130;1301;online;354.0
2022-2023;130;1303;online;116.0
2018-2019;130;1303;online;332.0
2019-2020;130;1303;online;127.0
2020-2021;130;1303;online;109.0
2021-2022;130;1303;online;118.0
2022-2023;130;1304;online;12187.0
2018-2019;130;1304;online;11000.0
2019-2020;130;1304;online;11018.0
2020-2021;130;1304;online;7614.0
2021-2022;130;1304;online;9652.0
2022-2023;130;1306;online;7717.0
2018-2019;130;1306;online;11600.0
2019-2020;130;1306;online;9027.0
2020-2021;130;1306;online;7701.0
2021-2022;130;1306;online;7982.0
2022-2023;130;1307;online;380.0
2018-2019;130;1307;online;252.0
2019-2020;130;1307;online;157.0
2021-2022;130;1307;online;380.0
2022-2023;313;1309;online;6409.0
2018-2019;313;1309;online;57321.0
2019-2020;313;1309;online;63479.0
2020-2021;313;1309;online;73218.0
2022-2023;130;1315;online;9743.0
2018-2019;130;1315;online;7179.0
2019-2020;130;1315;online;7322.0
2020-2021;130;1315;online;7778.0
2021-2022;130;1315;online;8791.0
2018-2019;1;131;online;39.0
2022-2023;313;1320;online;60.0
2018-2019;130;1323;online;33.0
2019-2020;130;1323;online;35.0
2020-2021;130;1323;online;2.0
2022-2023;139;1325;online;503.0
2019-2020;139;1325;online;265.0
2020-2021;139;1325;online;192.0
2021-2022;139;1325;online;228.0
2019-2020;253;1328;online;44.0
2020-2021;253;1328;online;43.0
2021-2022;253;1328;online;49.0
2022-2023;1;132;online;20.0
2018-2019;1;132;online;54.0
2020-2021;1;132;online;5.0
2021-2022;1;132;online;33.0
2022-2023;313;1330;online;80.0
2021-2022;313;1330;online;160.0
2022-2023;130;1332;online;10241.0
2018-2019;130;1332;online;8471.0
2019-2020;130;1332;online;11152.0
2020-2021;130;1332;online;9238.0
2021-2022;130;1332;online;7102.0
2018-2019;130;1336;online;1550.0
2019-2020;130;1336;online;919.0
2018-2019;128;1337;online;497.0
2019-2020;128;1337;online;419.0
2020-2021;128;1337;online;413.0
2018-2019;130;1338;online;206.0
2019-2020;130;1338;online;177.0
2020-2021;130;1338;online;139.0
2022-2023;1;133;online;82658.0
2018-2019;1;133;online;100025.0
2019-2020;1;133;online;109159.0
2020-2021;1;133;online;94554.0
2021-2022;1;133;online;114951.0
2018-2019;130;1340;online;87.0
2019-2020;130;1340;online;50.0
2020-2021;130;1340;online;59.0
2018-2019;130;1342;online;289.0
2018-2019;130;1344;online;21.0
2019-2020;130;1344;online;13.0
2020-2021;130;1344;online;24.0
2018-2019;130;1345;online;7.0
2019-2020;130;1345;online;8.0
2020-2021;130;1345;online;8.0
2022-2023;326;1347;online;339.0
2018-2019;326;1347;online;572.0
2019-2020;326;1347;online;416.0
2020-2021;326;1347;online;99.0
2021-2022;326;1347;online;426.0
2022-2023;326;1348;online;1706.0
2018-2019;326;1348;online;2014.0
2019-2020;326;1348;online;8000.0
2020-2021;326;1348;online;4952.0
2021-2022;326;1348;online;15779.0
2022-2023;326;1349;online;1238491.0
2018-2019;326;1349;online;92.0
2019-2020;326;1349;online;803385.0
2020-2021;326;1349;online;873998.0
2021-2022;326;1349;online;1268392.0
2022-2023;1;134;online;3582.0
2018-2019;1;134;online;3450.0
2019-2020;1;134;online;3804.0
2020-2021;1;134;online;2413.0
2021-2022;1;134;online;5977.0
2018-2019;326;1350;online;1.0
2019-2020;326;1350;online;14.0
2020-2021;326;1350;online;14.0
2021-2022;326;1350;online;51.0
2022-2023;313;1354;online;400.0
2022-2023;313;1355;online;9802.0
2018-2019;313;1355;online;28.0
2019-2020;313;1355;online;28.0
2020-2021;313;1355;online;28.0
2021-2022;313;1355;online;8977.0
2018-2019;278;1364;online;101.0
2022-2023;348;1367;online;81.0
2018-2019;348;1367;online;724.0
2021-2022;348;1367;online;285.0
2022-2023;139;1368;online;144.0
2018-2019;139;1368;online;124.0
2019-2020;139;1368;online;127.0
2020-2021;139;1368;online;53.0
2021-2022;139;1368;online;115.0
2018-2019;1;136;online;31.0
2019-2020;1;136;online;9.0
2018-2019;128;1377;online;141.0
2022-2023;1;137;online;8.0
2018-2019;1;137;online;45.0
2019-2020;1;137;online;4.0
2018-2019;139;1380;online;151.0
2018-2019;1;138;online;68.0
2019-2020;1;138;online;23.0
2018-2019;282;1397;online;536.0
2019-2020;282;1397;online;430.0
2022-2023;1;139;online;11.0
2018-2019;1;139;online;35.0
2019-2020;1;139;online;12.0
2022-2023;136;13;online;2602.0
2018-2019;136;13;online;309.0
2019-2020;136;13;online;138.0
2020-2021;136;13;online;66.0
2021-2022;136;13;online;211.0
2018-2019;282;1407;online;45.0
2018-2019;1;140;online;11.0
2022-2023;139;1419;online;5978.0
2018-2019;139;1419;online;1891.0
2019-2020;139;1419;online;1476.0
2018-2019;123;1420;online;150458.0
