fiscal_yr;org_id;department_en;department_fr;service_count;service_with_std_count;maf1_score;service_standard_id_met;service_standard_id_total;maf2_score;online_e2e_count;service_count;maf5_score;activated_point_count;point_count;maf6_score;improved_services_count;service_count;maf8_score
2023-2024;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;50;15;30.0;9.0;12.0;75.0;36;50;72.0;41.0;84.0;48.80952380952381;10;50;20.0
2023-2024;305;Shared Services Canada;Services partagés Canada;11;9;81.81818181818183;7.0;7.0;100.0;5;11;45.45454545454545;39.0;54.0;72.22222222222221;4;11;36.36363636363637
2023-2024;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;7;7;100.0;12.0;15.0;80.0;7;7;100.0;26.0;26.0;100.0;0;7;0.0
2023-2024;313;Statistics Canada;Statistique Canada;23;23;100.0;34.0;36.0;94.44444444444444;22;23;95.65217391304348;52.0;53.0;98.11320754716981;13;23;56.52173913043478
2023-2024;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;3;3;100.0;;;;3;3;100.0;;;;0;3;0.0
2023-2024;218;The National Battlefields Commission;Commission des champs de bataille nationaux;12;12;100.0;;;;9;12;75.0;0.0;18.0;0.0;0;12;0.0
2023-2024;138;Transport Canada;Transports Canada;117;75;64.1025641025641;108.0;187.0;57.75401069518716;25;117;21.367521367521366;115.0;600.0;19.166666666666668;11;117;9.401709401709402
2023-2024;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;32;28;87.5;29.0;32.0;90.625;22;32;68.75;116.0;135.0;85.92592592592592;22;32;68.75
2023-2024;139;Veterans Affairs Canada;Anciens Combattants Canada;30;20;66.66666666666666;18.0;23.0;78.26086956521739;18;30;60.0;123.0;143.0;86.01398601398601;15;30;50.0
2023-2024;333;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);1;1;100.0;;;;0;1;0.0;5.0;6.0;83.33333333333334;0;1;0.0
2023-2024;246;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;3;3;100.0;4.0;6.0;66.66666666666666;3;3;100.0;18.0;18.0;100.0;3;3;100.0
2024-2025;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;1;0;0.0;;;;1;1;100.0;;;;0;1;0.0

Timestamp:2025-02-05_15:01:20
