fiscal_yr;department_en;department_fr;org_id;activated_point_count;point_count;maf6_score
2018-2019;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;9;24;37.5
2018-2019;Privy Council Office;Bureau du Conseil privé;278;6;66;9.090909090909092
2018-2019;Public Health Agency of Canada;Agence de la santé publique du Canada;280;9;78;11.538461538461538
2018-2019;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;2;6;33.33333333333333
2018-2019;Public Safety Canada;Sécurité publique Canada;135;22;318;6.918238993710692
2018-2019;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;110;150;73.33333333333333
2018-2019;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;90;258;34.883720930232556
2018-2019;RCMP External Review Committee;Comité externe d'examen de la GRC;296;0;6;0.0
2018-2019;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;16;90;17.77777777777778
2018-2019;Shared Services Canada;Services partagés Canada;305;77;156;49.358974358974365
2018-2019;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;20;42;47.61904761904761
2018-2019;Statistics Canada;Statistique Canada;313;46;138;33.33333333333333
2018-2019;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;0;18;0.0
2018-2019;The National Battlefields Commission;Commission des champs de bataille nationaux;218;10;42;23.809523809523807
2018-2019;Transport Canada;Transports Canada;138;29;576;5.034722222222222
2018-2019;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;18;0.0
2018-2019;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;16;42;38.095238095238095
2018-2019;Veterans Affairs Canada;Anciens Combattants Canada;139;125;180;69.44444444444444
2018-2019;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;7;12;58.333333333333336
2019-2020;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;2;30;6.666666666666667
2019-2020;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;122;210;58.0952380952381
2019-2020;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;11;30;36.666666666666664
2019-2020;Canada Border Services Agency;Agence des services frontaliers du Canada;26;36;252;14.285714285714285
2019-2020;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;3;18;16.666666666666664
2019-2020;Canada Energy Regulator;Régie de l'énergie du Canada;221;11;96;11.458333333333332
2019-2020;Canada Revenue Agency;Agence du revenu du Canada;46;87;144;60.416666666666664
2019-2020;Canada School of Public Service;École de la fonction publique du Canada;47;7;18;38.88888888888889
2019-2020;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;22;54;40.74074074074074
2019-2020;Canadian Grain Commission;Commission canadienne des grains;69;6;84;7.142857142857142
2019-2020;Canadian Heritage;Patrimoine canadien;122;21;162;12.962962962962962
2019-2020;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;4;18;22.22222222222222
2019-2020;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;13;36;36.11111111111111
2019-2020;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;6;12;50.0
2019-2020;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;6;18;33.33333333333333
2019-2020;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;0;42;0.0
2019-2020;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;15;24;62.5
2019-2020;Canadian Space Agency;Agence spatiale canadienne;95;23;66;34.84848484848485
2019-2020;Canadian Transportation Agency;Office des transports du Canada;99;10;36;27.77777777777778
2019-2020;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;0;18;0.0
2019-2020;Copyright Board Canada;Commission du droit d'auteur Canada;114;0;18;0.0
2019-2020;Correctional Service Canada;Service correctionnel Canada;117;4;18;22.22222222222222
2019-2020;Courts Administration Service;Service administratif des tribunaux judiciaires;118;0;6;0.0
2019-2020;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;27;192;14.0625
2019-2020;Department of Finance Canada;Ministère des Finances Canada;124;5;18;27.77777777777778
2019-2020;Department of Indigenous Services;Ministère des Services aux Autochtones;348;52;528;9.848484848484848
2019-2020;Department of Justice Canada;Ministère de la Justice Canada;132;13;42;30.952380952380953
2019-2020;Employment and Social Development Canada;Emploi et Développement social Canada;128;68;174;39.08045977011494
2019-2020;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;97;258;37.5968992248062
2019-2020;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;24;0.0
2019-2020;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;0;12;0.0
