fiscal_yr;org_id;service_id;online_interaction_point;activation;online_interaction_point_sort
2018-2019;74;1127;issuance;N;5
2018-2019;74;1127;issue_resolution_feedback;N;6
2018-2019;74;1128;account_registration;N;1
2018-2019;74;1128;authentication;N;2
2018-2019;74;1128;application;N;3
2018-2019;74;1128;decision;N;4
2018-2019;74;1128;issuance;N;5
2018-2019;74;1128;issue_resolution_feedback;N;6
2023-2024;74;1129;account_registration;Y;1
2023-2024;74;1129;authentication;N;2
2023-2024;74;1129;application;N;3
2023-2024;74;1129;decision;N;4
2023-2024;74;1129;issuance;N;5
2023-2024;74;1129;issue_resolution_feedback;NA;6
2023-2024;136;1130;account_registration;NA;1
2023-2024;136;1130;authentication;NA;2
2023-2024;136;1130;application;NA;3
2023-2024;136;1130;decision;NA;4
2023-2024;136;1130;issuance;NA;5
2023-2024;136;1130;issue_resolution_feedback;NA;6
2019-2020;129;1131;account_registration;NA;1
2019-2020;129;1131;authentication;NA;2
2019-2020;129;1131;application;NA;3
2019-2020;129;1131;decision;NA;4
2019-2020;129;1131;issuance;NA;5
2019-2020;129;1131;issue_resolution_feedback;NA;6
2023-2024;280;1132;account_registration;NA;1
2023-2024;280;1132;authentication;N;2
2023-2024;280;1132;application;N;3
2023-2024;280;1132;decision;N;4
2023-2024;280;1132;issuance;N;5
2023-2024;280;1132;issue_resolution_feedback;N;6
2023-2024;129;1133;account_registration;NA;1
2023-2024;129;1133;authentication;NA;2
2023-2024;129;1133;application;N;3
2023-2024;129;1133;decision;N;4
2023-2024;129;1133;issuance;NA;5
2023-2024;129;1133;issue_resolution_feedback;NA;6
2023-2024;129;1134;account_registration;N;1
2023-2024;129;1134;authentication;Y;2
2023-2024;129;1134;application;Y;3
2023-2024;129;1134;decision;N;4
2023-2024;129;1134;issuance;N;5
2023-2024;129;1134;issue_resolution_feedback;Y;6
2023-2024;129;1135;account_registration;N;1
2023-2024;129;1135;authentication;N;2
2023-2024;129;1135;application;N;3
2023-2024;129;1135;decision;N;4
2023-2024;129;1135;issuance;N;5
2023-2024;129;1135;issue_resolution_feedback;N;6
