org_id;latest_si_yr;program_id;report_yr;measure_yr;planned_actual;spending_fte;measure;si_link_yr
117;2024-2025;ISS03;2020-2021;2020-2021;actual;spending;22164853.78;2020-2021
117;2024-2025;ISS04;2020-2021;2020-2021;actual;spending;89490001.83;2020-2021
117;2024-2025;ISS05;2020-2021;2020-2021;actual;spending;44576890.37;2020-2021
117;2024-2025;ISS06;2020-2021;2020-2021;actual;spending;6041964.8;2020-2021
117;2024-2025;ISS07;2020-2021;2020-2021;actual;spending;94509540.62;2020-2021
117;2024-2025;ISS08;2020-2021;2020-2021;actual;spending;15585331.38;2020-2021
117;2024-2025;ISS09;2020-2021;2020-2021;actual;spending;9952658.04;2020-2021
117;2024-2025;ISS0Z;2020-2021;2020-2021;actual;spending;9598149.82;2020-2021
118;2024-2025;BEG01;2020-2021;2020-2021;actual;spending;30966361.02;2020-2021
118;2024-2025;BEG02;2020-2021;2020-2021;actual;spending;32726973.44;2020-2021
118;2024-2025;BEG03;2020-2021;2020-2021;actual;spending;2768879.7;2020-2021
118;2024-2025;BEG04;2020-2021;2020-2021;actual;spending;9109427.05;2020-2021
118;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;29131352.38;2020-2021
122;2024-2025;BSD01;2020-2021;2020-2021;actual;spending;169208309.59;2020-2021
122;2024-2025;BSD02;2020-2021;2020-2021;actual;spending;33856219.18;2020-2021
122;2024-2025;BSD03;2020-2021;2020-2021;actual;spending;608352454.55;2020-2021
122;2024-2025;BSE01;2020-2021;2020-2021;actual;spending;46369226.09;2020-2021
122;2024-2025;BSE02;2020-2021;2020-2021;actual;spending;35476640.76;2020-2021
122;2024-2025;BSE03;2020-2021;2020-2021;actual;spending;75130778.67;2020-2021
122;2024-2025;BSE04;2020-2021;2020-2021;actual;spending;5080587.24;2020-2021
122;2024-2025;BSF01;2020-2021;2020-2021;actual;spending;321270920.92;2020-2021
122;2024-2025;BSG01;2020-2021;2020-2021;actual;spending;25132128.57;2020-2021
122;2024-2025;BSG02;2020-2021;2020-2021;actual;spending;7490186.93;2020-2021
122;2024-2025;BSG03;2020-2021;2020-2021;actual;spending;61981976.01;2020-2021
122;2024-2025;BSG04;2020-2021;2020-2021;actual;spending;13133475.88;2020-2021
122;2024-2025;BSH01;2020-2021;2020-2021;actual;spending;462296618.79;2020-2021
122;2024-2025;ISS01;2020-2021;2020-2021;actual;spending;34867180.35;2020-2021
122;2024-2025;ISS02;2020-2021;2020-2021;actual;spending;13742434.49;2020-2021
122;2024-2025;ISS03;2020-2021;2020-2021;actual;spending;2180310.19;2020-2021
122;2024-2025;ISS04;2020-2021;2020-2021;actual;spending;11032309.67;2020-2021
122;2024-2025;ISS05;2020-2021;2020-2021;actual;spending;7242858.67;2020-2021
122;2024-2025;ISS06;2020-2021;2020-2021;actual;spending;6953825.6;2020-2021
122;2024-2025;ISS07;2020-2021;2020-2021;actual;spending;15136243.38;2020-2021
122;2024-2025;ISS08;2020-2021;2020-2021;actual;spending;4378623.14;2020-2021
122;2024-2025;ISS09;2020-2021;2020-2021;actual;spending;491602.43;2020-2021
122;2024-2025;ISS0Z;2020-2021;2020-2021;actual;spending;737334.97;2020-2021
123;2024-2025;BGD01;2020-2021;2020-2021;actual;spending;92522938.46;2020-2021
123;2024-2025;BGD02;2020-2021;2020-2021;actual;spending;38169128.98;2020-2021
123;2024-2025;BGD03;2020-2021;2020-2021;actual;spending;68028468.67;2020-2021
123;2024-2025;BGE01;2020-2021;2020-2021;actual;spending;61038672.78;2020-2021
123;2024-2025;BGE02;2020-2021;2020-2021;actual;spending;27157000.77;2020-2021
123;2024-2025;BGE03;2020-2021;2020-2021;actual;spending;62388970.06;2020-2021
123;2024-2025;BGE04;2020-2021;2020-2021;actual;spending;17817089.53;2020-2021
123;2024-2025;BGE05;2020-2021;2020-2021;actual;spending;137345271.66;2020-2021
123;2024-2025;BGE06;2020-2021;2020-2021;actual;spending;440063571.2;2020-2021
123;2024-2025;BGE07;2020-2021;2020-2021;actual;spending;1488169551.98;2020-2021
