fiscal_yr;org_id;service_id;fy_org_id_service_id;online_interaction_point;activation;online_interaction_point_sort
2020-2021;125;1038;2020-2021_125_1038;account_registration;NA;1
2021-2022;125;1038;2021-2022_125_1038;account_registration;NA;1
2022-2023;125;1039;2022-2023_125_1039;account_registration;N;1
2018-2019;125;1039;2018-2019_125_1039;account_registration;NA;1
2019-2020;125;1039;2019-2020_125_1039;account_registration;NA;1
2020-2021;125;1039;2020-2021_125_1039;account_registration;NA;1
2021-2022;125;1039;2021-2022_125_1039;account_registration;NA;1
2022-2023;125;1040;2022-2023_125_1040;account_registration;N;1
2018-2019;125;1040;2018-2019_125_1040;account_registration;NA;1
2019-2020;125;1040;2019-2020_125_1040;account_registration;NA;1
2020-2021;125;1040;2020-2021_125_1040;account_registration;NA;1
2021-2022;125;1040;2021-2022_125_1040;account_registration;NA;1
2022-2023;125;1041;2022-2023_125_1041;account_registration;N;1
2018-2019;125;1041;2018-2019_125_1041;account_registration;NA;1
2019-2020;125;1041;2019-2020_125_1041;account_registration;NA;1
2020-2021;125;1041;2020-2021_125_1041;account_registration;NA;1
2021-2022;125;1041;2021-2022_125_1041;account_registration;NA;1
2022-2023;282;1042;2022-2023_282_1042;account_registration;Y;1
2018-2019;282;1042;2018-2019_282_1042;account_registration;Y;1
2019-2020;282;1042;2019-2020_282_1042;account_registration;Y;1
2020-2021;282;1042;2020-2021_282_1042;account_registration;Y;1
2021-2022;282;1042;2021-2022_282_1042;account_registration;Y;1
2022-2023;125;1043;2022-2023_125_1043;account_registration;N;1
2018-2019;125;1043;2018-2019_125_1043;account_registration;NA;1
2019-2020;125;1043;2019-2020_125_1043;account_registration;NA;1
2020-2021;125;1043;2020-2021_125_1043;account_registration;NA;1
2021-2022;125;1043;2021-2022_125_1043;account_registration;NA;1
2022-2023;125;1044;2022-2023_125_1044;account_registration;N;1
2018-2019;125;1044;2018-2019_125_1044;account_registration;NA;1
2019-2020;125;1044;2019-2020_125_1044;account_registration;NA;1
2020-2021;125;1044;2020-2021_125_1044;account_registration;NA;1
2021-2022;125;1044;2021-2022_125_1044;account_registration;NA;1
2022-2023;125;1045;2022-2023_125_1045;account_registration;N;1
