fiscal_yr;org_id;department_en;department_fr;service_with_std_count;service_count_maf1;maf1_score;service_standard_met;service_standard_count;maf2_score;online_e2e_count;service_count_maf5;maf5_score;activated_point_count;point_count;maf6_score;improved_services_count;service_count_maf8;maf8_score
2019-2020;266;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;1;2;50.0;1.0;1.0;100.0;1;2;50.0;5.0;5.0;100.0;0;2;0.0
2019-2020;552;Polar Knowledge Canada;Savoir polaire Canada;2;2;100.0;2.0;2.0;100.0;0;2;0.0;4.0;12.0;33.33333333333333;0;2;0.0
2019-2020;140;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;3;4;75.0;6.0;6.0;100.0;2;4;50.0;9.0;14.0;64.28571428571429;0;4;0.0
2019-2020;278;Privy Council Office;Bureau du Conseil privé;0;6;0.0;;;;1;6;16.666666666666664;6.0;10.0;60.0;0;6;0.0
2019-2020;280;Public Health Agency of Canada;Agence de la santé publique du Canada;12;13;92.3076923076923;15.0;17.0;88.23529411764706;1;13;7.6923076923076925;10.0;42.0;23.809523809523807;0;13;0.0
2019-2020;248;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;0;1;0.0;;;;0;1;0.0;2.0;6.0;33.33333333333333;0;1;0.0
2019-2020;135;Public Safety Canada;Sécurité publique Canada;34;54;62.96296296296296;1.0;1.0;100.0;0;54;0.0;24.0;324.0;7.4074074074074066;0;54;0.0
2019-2020;282;Public Service Commission of Canada;Commission de la fonction publique du Canada;15;25;60.0;9.0;15.0;60.0;13;25;52.0;87.0;128.0;67.96875;0;25;0.0
2019-2020;136;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;30;46;65.21739130434783;45.0;56.0;80.35714285714286;10;46;21.73913043478261;76.0;176.0;43.18181818181818;0;46;0.0
2019-2020;296;RCMP External Review Committee;Comité externe d'examen de la GRC;1;1;100.0;0.0;1.0;0.0;0;1;0.0;0.0;6.0;0.0;0;1;0.0
2019-2020;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;13;18;72.22222222222221;11.0;21.0;52.38095238095239;2;18;11.11111111111111;19.0;35.0;54.285714285714285;0;18;0.0
2019-2020;305;Shared Services Canada;Services partagés Canada;10;12;83.33333333333334;0.0;14.0;0.0;5;12;41.66666666666667;40.0;61.0;65.57377049180327;0;12;0.0
2019-2020;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;7;7;100.0;9.0;13.0;69.23076923076923;3;7;42.857142857142854;21.0;24.0;87.5;0;7;0.0
2019-2020;313;Statistics Canada;Statistique Canada;23;23;100.0;0.0;0.0;;21;23;91.30434782608695;46.0;51.0;90.19607843137256;0;23;0.0
2019-2020;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;3;3;100.0;2.0;5.0;40.0;0;3;0.0;0.0;18.0;0.0;0;3;0.0
2019-2020;218;The National Battlefields Commission;Commission des champs de bataille nationaux;4;7;57.14285714285714;4.0;4.0;100.0;4;7;57.14285714285714;9.0;9.0;100.0;0;7;0.0
2019-2020;138;Transport Canada;Transports Canada;66;102;64.70588235294117;92.0;174.0;52.87356321839081;1;102;0.9803921568627451;36.0;418.0;8.61244019138756;0;102;0.0
2019-2020;98;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;0;5;0.0;;;;0;5;0.0;0.0;30.0;0.0;0;5;0.0
2019-2020;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;7;15;46.666666666666664;6.0;12.0;50.0;10;15;66.66666666666666;51.0;63.0;80.95238095238095;0;15;0.0
2019-2020;139;Veterans Affairs Canada;Anciens Combattants Canada;17;28;60.71428571428571;17.0;22.0;77.27272727272727;15;28;53.57142857142857;114.0;136.0;83.82352941176471;0;28;0.0
