service_id;fiscal_yr;program_id;org_id;latest_si_yr;report_yr;measure_yr;planned_actual;spending_fte;measure;valid_program
1021;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;ftes;229.0;True
1022;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;spending;84317537.32;True
1022;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;ftes;333.0;True
1022;2018-2019;BTG04;125;;;;;;;False
1022;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;spending;30542473.55;True
1022;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;ftes;162.0;True
1022;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;spending;30515331.54;True
1022;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;ftes;172.0;True
1022;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;spending;48207017.95;True
1022;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;ftes;229.0;True
1023;2022-2023;BWM06;129;2023-2024;2022-2023;2022-2023;actual;spending;715870714.39;True
1023;2022-2023;BWM06;129;2023-2024;2022-2023;2022-2023;actual;ftes;49.0;True
1023;2018-2019;BWM06;129;;;;;;;False
1023;2019-2020;BWM06;129;2023-2024;2019-2020;2019-2020;actual;spending;46014538.71;True
1023;2019-2020;BWM06;129;2023-2024;2019-2020;2019-2020;actual;ftes;59.0;True
1023;2020-2021;BWM06;129;2023-2024;2020-2021;2020-2021;actual;spending;43524703.58;True
1023;2020-2021;BWM06;129;2023-2024;2020-2021;2020-2021;actual;ftes;57.0;True
1023;2021-2022;BWM06;129;2023-2024;2021-2022;2021-2022;actual;spending;247621188.05;True
1023;2021-2022;BWM06;129;2023-2024;2021-2022;2021-2022;actual;ftes;55.0;True
1024;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;spending;84317537.32;True
1024;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;ftes;333.0;True
1024;2018-2019;BTG04;125;;;;;;;False
1024;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;spending;30542473.55;True
1024;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;ftes;162.0;True
1024;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;spending;30515331.54;True
1024;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;ftes;172.0;True
1024;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;spending;48207017.95;True
1024;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;ftes;229.0;True
1025;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;spending;84317537.32;True
1025;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;ftes;333.0;True
1025;2018-2019;BTG04;125;;;;;;;False
1025;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;spending;30542473.55;True
1025;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;ftes;162.0;True
1025;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;spending;30515331.54;True
1025;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;ftes;172.0;True
1025;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;spending;48207017.95;True
1025;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;ftes;229.0;True
1026;2022-2023;BTF01;125;2023-2024;2022-2023;2022-2023;actual;spending;107685186.36;True
1026;2022-2023;BTF01;125;2023-2024;2022-2023;2022-2023;actual;ftes;622.0;True
1026;2018-2019;BTF01;125;;;;;;;False
