fiscal_yr;service_id;channel;volume
2019-2020;1208;telephone;0.0
2020-2021;1208;telephone;0.0
2018-2019;1210;telephone;0.0
2019-2020;1210;telephone;0.0
2020-2021;1210;telephone;0.0
2018-2019;1211;telephone;0.0
2019-2020;1211;telephone;0.0
2020-2021;1211;telephone;0.0
2021-2022;1211;telephone;0.0
2018-2019;1212;telephone;0.0
2018-2019;1213;telephone;0.0
2018-2019;1214;telephone;0.0
2018-2019;1215;telephone;0.0
2018-2019;1216;telephone;0.0
2018-2019;1217;telephone;0.0
2018-2019;1218;telephone;0.0
2019-2020;1218;telephone;0.0
2020-2021;1218;telephone;0.0
2021-2022;1218;telephone;0.0
2018-2019;1219;telephone;0.0
2018-2019;1220;telephone;0.0
2019-2020;1220;telephone;0.0
2020-2021;1220;telephone;0.0
2018-2019;1221;telephone;0.0
2019-2020;1221;telephone;0.0
2020-2021;1221;telephone;0.0
2018-2019;1222;telephone;0.0
2019-2020;1222;telephone;0.0
2020-2021;1222;telephone;0.0
2018-2019;1223;telephone;0.0
2019-2020;1223;telephone;0.0
2020-2021;1223;telephone;0.0
2018-2019;1225;telephone;0.0
2019-2020;1225;telephone;0.0
2020-2021;1225;telephone;0.0
2018-2019;1228;telephone;0.0
2019-2020;1228;telephone;0.0
2020-2021;1228;telephone;0.0
2018-2019;1229;telephone;0.0
2018-2019;1230;telephone;0.0
2018-2019;1231;telephone;0.0
2019-2020;1231;telephone;397654.0
2020-2021;1231;telephone;0.0
2018-2019;1232;telephone;0.0
2019-2020;1232;telephone;0.0
2020-2021;1232;telephone;0.0
2018-2019;1233;telephone;0.0
2019-2020;1233;telephone;0.0
2020-2021;1233;telephone;0.0
2021-2022;1233;telephone;0.0
2018-2019;1234;telephone;0.0
2019-2020;1234;telephone;0.0
2020-2021;1234;telephone;0.0
2018-2019;1235;telephone;0.0
2019-2020;1235;telephone;0.0
2020-2021;1235;telephone;0.0
2018-2019;1236;telephone;0.0
2019-2020;1236;telephone;0.0
2020-2021;1236;telephone;0.0
2021-2022;1236;telephone;0.0
2018-2019;1237;telephone;0.0
2019-2020;1237;telephone;0.0
2020-2021;1237;telephone;0.0
2018-2019;1238;telephone;0.0
2019-2020;1238;telephone;0.0
2020-2021;1238;telephone;0.0
2018-2019;1239;telephone;0.0
2019-2020;1239;telephone;0.0
2020-2021;1239;telephone;0.0
2018-2019;1240;telephone;0.0
2018-2019;1241;telephone;0.0
2019-2020;1241;telephone;0.0
2020-2021;1241;telephone;0.0
2021-2022;1241;telephone;0.0
2018-2019;1242;telephone;0.0
2019-2020;1242;telephone;0.0
2020-2021;1242;telephone;0.0
2021-2022;1242;telephone;0.0
2018-2019;1243;telephone;0.0
2019-2020;1243;telephone;0.0
2020-2021;1243;telephone;0.0
2018-2019;1244;telephone;0.0
2019-2020;1244;telephone;0.0
2020-2021;1244;telephone;0.0
2018-2019;1245;telephone;0.0
2019-2020;1245;telephone;0.0
2018-2019;1246;telephone;0.0
2019-2020;1246;telephone;0.0
2020-2021;1246;telephone;0.0
2018-2019;1247;telephone;0.0
2019-2020;1247;telephone;0.0
2020-2021;1247;telephone;0.0
2021-2022;1247;telephone;0.0
2018-2019;1248;telephone;0.0
2019-2020;1248;telephone;0.0
2020-2021;1248;telephone;0.0
2018-2019;1249;telephone;0.0
2019-2020;1249;telephone;0.0
2020-2021;1249;telephone;0.0
2018-2019;1250;telephone;0.0
2019-2020;1250;telephone;0.0
2020-2021;1250;telephone;0.0
2018-2019;1251;telephone;0.0
2019-2020;1251;telephone;0.0
2020-2021;1251;telephone;0.0
2018-2019;1252;telephone;0.0
2019-2020;1252;telephone;0.0
2020-2021;1252;telephone;0.0
2018-2019;1253;telephone;0.0
2019-2020;1253;telephone;7137.0
2020-2021;1253;telephone;0.0
2021-2022;1253;telephone;0.0
2018-2019;1254;telephone;0.0
2019-2020;1254;telephone;4511.0
2020-2021;1254;telephone;1581.0
2018-2019;1255;telephone;0.0
2019-2020;1255;telephone;0.0
2020-2021;1255;telephone;0.0
2021-2022;1255;telephone;0.0
2018-2019;1256;telephone;0.0
2019-2020;1256;telephone;0.0
2020-2021;1256;telephone;0.0
2018-2019;1257;telephone;0.0
2019-2020;1257;telephone;0.0
2020-2021;1257;telephone;0.0
2018-2019;1258;telephone;0.0
2019-2020;1258;telephone;0.0
2020-2021;1258;telephone;0.0
2021-2022;1258;telephone;0.0
2018-2019;125;telephone;0.0
2019-2020;125;telephone;0.0
2020-2021;125;telephone;0.0
2018-2019;1260;telephone;0.0
2019-2020;1260;telephone;0.0
2020-2021;1260;telephone;0.0
2018-2019;1261;telephone;0.0
2018-2019;1262;telephone;0.0
2019-2020;1262;telephone;0.0
2020-2021;1262;telephone;0.0
2018-2019;1263;telephone;0.0
2019-2020;1263;telephone;0.0
2020-2021;1263;telephone;0.0
2018-2019;1264;telephone;0.0
2019-2020;1264;telephone;0.0
2020-2021;1264;telephone;0.0
2018-2019;1265;telephone;0.0
2019-2020;1265;telephone;0.0
2020-2021;1265;telephone;0.0
2018-2019;1266;telephone;0.0
2019-2020;1266;telephone;0.0
2020-2021;1266;telephone;0.0
2018-2019;1267;telephone;0.0
2019-2020;1267;telephone;0.0
2020-2021;1267;telephone;0.0
2021-2022;1267;telephone;0.0
2022-2023;1268;telephone;0.0
2018-2019;1268;telephone;0.0
2019-2020;1268;telephone;0.0
2020-2021;1268;telephone;0.0
2018-2019;1269;telephone;0.0
