si_link_yr;organization_id;program_id;service_id;fiscal_yr;core_responsibility_en;report_yr;measure_yr;planned_actual;ftes;spending
2023;136;BVX01;969;2022-2023;Property and Infrastructure;2023.0;2023.0;actual;892.13;2708188807.25
2023;136;BVX01;969;2022-2023;Property and Infrastructure;2024.0;2024.0;planned;928.34;3059507157.0
2023;136;BVX01;969;2022-2023;Property and Infrastructure;2025.0;2025.0;planned;912.0;2926435520.0
2023;136;BVX01;969;2022-2023;Property and Infrastructure;2025.0;2026.0;planned;914.0;3244727761.0
2023;136;BVX01;969;2022-2023;Property and Infrastructure;2025.0;2027.0;planned;917.0;2526795984.0
2019;136;BVX02;969;2018-2019;Property and Infrastructure;2019.0;2019.0;actual;3122.94;2208363.2
2020;136;BVX02;969;2019-2020;Property and Infrastructure;2020.0;2020.0;actual;3207.49;5874681.68
2021;136;BVX02;969;2020-2021;Property and Infrastructure;2021.0;2021.0;actual;3294.48;-16236118.87
2022;136;BVX02;969;2021-2022;Property and Infrastructure;2022.0;2022.0;actual;3441.21;-26816378.89
2023;136;BVW03;970;2022-2023;Payments and Accounting;2023.0;2023.0;actual;43.68;-48487283.51
2023;136;BVW03;970;2022-2023;Payments and Accounting;2024.0;2024.0;planned;48.94;6116219.0
2023;136;BVW03;970;2022-2023;Payments and Accounting;2025.0;2025.0;planned;51.0;6549166.0
2023;136;BVW03;970;2022-2023;Payments and Accounting;2025.0;2026.0;planned;51.0;6625321.0
2023;136;BVW03;970;2022-2023;Payments and Accounting;2025.0;2027.0;planned;51.0;6640680.0
2019;136;BVW03;970;2018-2019;Payments and Accounting;2019.0;2019.0;actual;48.1;2192403.98
2020;136;BVW03;970;2019-2020;Payments and Accounting;2020.0;2020.0;actual;47.7;6204565.53
2021;136;BVW03;970;2020-2021;Payments and Accounting;2021.0;2021.0;actual;49.34;41685677.72
2022;136;BVW03;970;2021-2022;Payments and Accounting;2022.0;2022.0;actual;48.04;8597875.4
2023;136;BVX02;971;2022-2023;Property and Infrastructure;2023.0;2023.0;actual;3541.93;-15215943.58
2023;136;BVX02;971;2022-2023;Property and Infrastructure;2024.0;2024.0;planned;3687.66;3500000.0
2023;136;BVX02;971;2022-2023;Property and Infrastructure;2025.0;2025.0;planned;3688.0;20800000.0
2023;136;BVX02;971;2022-2023;Property and Infrastructure;2025.0;2026.0;planned;3708.0;5400000.0
2023;136;BVX02;971;2022-2023;Property and Infrastructure;2025.0;2027.0;planned;3710.0;-1800000.0
2019;136;BVX02;971;2018-2019;Property and Infrastructure;2019.0;2019.0;actual;3122.94;2208363.2
2020;136;BVX02;971;2019-2020;Property and Infrastructure;2020.0;2020.0;actual;3207.49;5874681.68
2021;136;BVX02;971;2020-2021;Property and Infrastructure;2021.0;2021.0;actual;3294.48;-16236118.87
2022;136;BVX02;971;2021-2022;Property and Infrastructure;2022.0;2022.0;actual;3441.21;-26816378.89
2019;136;BVX02;972;2018-2019;Property and Infrastructure;2019.0;2019.0;actual;3122.94;2208363.2
2020;136;BVX02;972;2019-2020;Property and Infrastructure;2020.0;2020.0;actual;3207.49;5874681.68
2021;136;BVX02;972;2020-2021;Property and Infrastructure;2021.0;2021.0;actual;3294.48;-16236118.87
2022;136;BVX02;972;2021-2022;Property and Infrastructure;2022.0;2022.0;actual;3441.21;-26816378.89
2023;136;BVX01;973;2022-2023;Property and Infrastructure;2023.0;2023.0;actual;892.13;2708188807.25
2023;136;BVX01;973;2022-2023;Property and Infrastructure;2024.0;2024.0;planned;928.34;3059507157.0
2023;136;BVX01;973;2022-2023;Property and Infrastructure;2025.0;2025.0;planned;912.0;2926435520.0
2023;136;BVX01;973;2022-2023;Property and Infrastructure;2025.0;2026.0;planned;914.0;3244727761.0
2023;136;BVX01;973;2022-2023;Property and Infrastructure;2025.0;2027.0;planned;917.0;2526795984.0
2019;136;BVX02;973;2018-2019;Property and Infrastructure;2019.0;2019.0;actual;3122.94;2208363.2
2020;136;BVX02;973;2019-2020;Property and Infrastructure;2020.0;2020.0;actual;3207.49;5874681.68
2021;136;BVX02;973;2020-2021;Property and Infrastructure;2021.0;2021.0;actual;3294.48;-16236118.87
2022;136;BVX02;973;2021-2022;Property and Infrastructure;2022.0;2022.0;actual;3441.21;-26816378.89
2023;136;BVX01;974;2022-2023;Property and Infrastructure;2023.0;2023.0;actual;892.13;2708188807.25
2023;136;BVX01;974;2022-2023;Property and Infrastructure;2024.0;2024.0;planned;928.34;3059507157.0
2023;136;BVX01;974;2022-2023;Property and Infrastructure;2025.0;2025.0;planned;912.0;2926435520.0
2023;136;BVX01;974;2022-2023;Property and Infrastructure;2025.0;2026.0;planned;914.0;3244727761.0
2023;136;BVX01;974;2022-2023;Property and Infrastructure;2025.0;2027.0;planned;917.0;2526795984.0
2019;136;BVX02;974;2018-2019;Property and Infrastructure;2019.0;2019.0;actual;3122.94;2208363.2
2020;136;BVX02;974;2019-2020;Property and Infrastructure;2020.0;2020.0;actual;3207.49;5874681.68
2021;136;BVX02;974;2020-2021;Property and Infrastructure;2021.0;2021.0;actual;3294.48;-16236118.87
2022;136;BVX02;974;2021-2022;Property and Infrastructure;2022.0;2022.0;actual;3441.21;-26816378.89
2023;137;BGS04;975;2022-2023;Preventing and Managing Pollution;2023.0;2023.0;actual;732.0;129502759.29
2023;137;BGS04;975;2022-2023;Preventing and Managing Pollution;2024.0;2024.0;planned;750.0;150235461.0
2023;137;BGS04;975;2022-2023;Preventing and Managing Pollution;2025.0;2025.0;planned;1148.0;230060209.0
2023;137;BGS04;975;2022-2023;Preventing and Managing Pollution;2025.0;2026.0;planned;1097.0;197661456.0
2023;137;BGS04;975;2022-2023;Preventing and Managing Pollution;2025.0;2027.0;planned;1098.0;193961064.0
2019;137;BGS05;975;2018-2019;Preventing and Managing Pollution;2019.0;2019.0;actual;346.0;43372895.57
2020;137;BGS04;975;2019-2020;Preventing and Managing Pollution;2020.0;2020.0;actual;749.52;127021348.96
2020;137;BGS05;975;2019-2020;Preventing and Managing Pollution;2020.0;2020.0;actual;367.23;45089913.15
2021;137;BGS04;975;2020-2021;Preventing and Managing Pollution;2021.0;2021.0;actual;738.0;120878784.22
2021;137;BGS05;975;2020-2021;Preventing and Managing Pollution;2021.0;2021.0;actual;365.0;44862296.99
2022;137;BGS04;975;2021-2022;Preventing and Managing Pollution;2022.0;2022.0;actual;718.0;117582563.73
2023;137;BGT03;977;2022-2023;Conserving Nature;2023.0;2023.0;actual;352.0;269298652.39
2023;137;BGT03;977;2022-2023;Conserving Nature;2024.0;2024.0;planned;302.0;410122087.0
2023;137;BGT03;977;2022-2023;Conserving Nature;2025.0;2025.0;planned;343.0;433681173.0
2023;137;BGT03;977;2022-2023;Conserving Nature;2025.0;2026.0;planned;339.0;410119527.0
2023;137;BGT03;977;2022-2023;Conserving Nature;2025.0;2027.0;planned;221.0;199524215.0
2019;137;BGT03;977;2018-2019;Conserving Nature;2019.0;2019.0;actual;167.0;73281487.95
2020;137;BGT03;977;2019-2020;Conserving Nature;2020.0;2020.0;actual;229.04;121279782.62
